Ativo,Data,Maxima dia,Minima dia,Valor abertura,Valor fechamento,Volume,Valor de mercado
ETH,2021-02-10T23:59:59Z,1826.69672307,1686.54241781,1768.03974775,1744.24343196,41916084617.36,199922942887.56
ETH,2021-02-11T23:59:59Z,1806.53903005,1708.67926011,1743.71418745,1783.79795026,36021495261.76,204480686290.95
ETH,2021-02-12T23:59:59Z,1861.35691381,1744.16899818,1783.48917053,1843.53258814,37905036865.18,211353402277.61
ETH,2021-02-13T23:59:59Z,1871.60354682,1770.61208607,1843.98675965,1814.10985253,35359490534.52,208004282357.62
ETH,2021-02-14T23:59:59Z,1848.15405872,1789.91420653,1814.37231313,1805.08404652,31439114899.57,206994111569.56
ETH,2021-02-15T23:59:59Z,1833.83057195,1683.90665476,1804.67678046,1779.79097807,38955610883.41,204117703893.71
ETH,2021-02-16T23:59:59Z,1824.51863807,1729.6419259,1778.94560552,1781.06747722,34269369268.19,204288110917.07
ETH,2021-02-17T23:59:59Z,1853.66754295,1736.70582293,1781.35009235,1848.4582725,35955412703.36,212042961268.08
ETH,2021-02-18T23:59:59Z,1949.90339186,1848.20628229,1848.20628229,1937.44925643,28255902968.57,222277377811.22
ETH,2021-02-19T23:59:59Z,1969.54705461,1896.68450767,1938.85988089,1960.16474353,26268814252.82,224910293533.88
ETH,2021-02-20T23:59:59Z,2036.28649332,1830.53153486,1959.90297711,1919.5340028,34696091102.23,220274162486.18
ETH,2021-02-21T23:59:59Z,1974.25958766,1890.368116,1918.67314966,1935.60106022,23626547717.45,222144116573.88
ETH,2021-02-22T23:59:59Z,1936.45378227,1580.62655281,1935.55785359,1781.99297558,42409646035.86,204538978050.14
ETH,2021-02-23T23:59:59Z,1781.40901762,1378.84090738,1781.40901762,1570.20392529,52029864712.8,180251030148.47
ETH,2021-02-24T23:59:59Z,1710.98379492,1511.01896331,1571.47649661,1626.57570543,31329000537.33,186743952485.76
ETH,2021-02-25T23:59:59Z,1670.2240615,1465.05894621,1625.39388181,1475.70373513,24481681872.94,169442679395.07
ETH,2021-02-26T23:59:59Z,1559.02889087,1407.97925331,1478.6532703,1446.0336503,31435997880.72,166055498546.28
ETH,2021-02-27T23:59:59Z,1524.9324277,1433.78692864,1446.92945497,1459.97312093,20742103232.83,167675937684.41
MIOTA,2017-06-14T23:59:59Z,0.6061959862709045,0.4957450032234192,0.5923470258712769,0.5289160013198853,14194900,1470138039.16
MIOTA,2017-06-15T23:59:59Z,0.5431650280952454,0.30036500096321106,0.5282840132713318,0.363660991191864,10300400,1010806762.25
MIOTA,2017-06-16T23:59:59Z,0.4482490122318268,0.3098520040512085,0.353285014629364,0.41075700521469116,6920690,1141711520.45
MIOTA,2017-06-17T23:59:59Z,0.44420498609542847,0.4141390025615692,0.42676201462745667,0.41990599036216736,3100660,1167141443.01
MIOTA,2017-06-18T23:59:59Z,0.4260689914226532,0.39379000663757324,0.42059698700904846,0.4058620035648346,2514450,1128105719.72
MIOTA,2017-06-19T23:59:59Z,0.420989990234375,0.3882310092449188,0.405456006526947,0.4121829867362976,3543640,1145675130.64
MIOTA,2017-06-20T23:59:59Z,0.4220319986343384,0.3986490070819855,0.41429901123046875,0.41849398612976074,3755470,1163216746.25
MIOTA,2017-06-21T23:59:59Z,0.43733999133110046,0.405036985874176,0.4194389879703522,0.41354700922966003,3999810,1149466409.94
MIOTA,2017-06-22T23:59:59Z,0.42728298902511597,0.4072610139846802,0.4133709967136383,0.4177420139312744,2343320,1161126539.48
MIOTA,2017-06-23T23:59:59Z,0.4809100031852722,0.40840500593185425,0.41776901483535767,0.4809100031852722,3768560,1336703908.4
MIOTA,2017-06-24T23:59:59Z,0.6356120109558105,0.4827690124511719,0.4827690124511719,0.512910008430481,19215500,1425648877.45
MIOTA,2017-06-25T23:59:59Z,0.5255640149116516,0.4549509882926941,0.5141850113868713,0.4709410071372986,5012890,1308994771.01
MIOTA,2017-06-26T23:59:59Z,0.47366198897361755,0.35115599632263184,0.47019198536872864,0.4024380147457123,9101080,1118588608.03
MIOTA,2017-06-27T23:59:59Z,0.4200350046157837,0.3535490036010742,0.4119890034198761,0.39226898550987244,4411090,1090323564.58
MIOTA,2017-06-28T23:59:59Z,0.3998740017414093,0.357338011264801,0.3998740017414093,0.37913599610328674,4704400,1053819993.38
MIOTA,2017-06-29T23:59:59Z,0.45938700437545776,0.36156800389289856,0.3757669925689697,0.4177980124950409,5324020,1161282193.18
MIOTA,2017-06-30T23:59:59Z,0.4530079960823059,0.3981949985027313,0.4171670079231262,0.4015910029411316,5044270,1116234345.88
MIOTA,2017-07-01T23:59:59Z,0.41419199109077454,0.38148900866508484,0.40229499340057373,0.389629989862442,2334640,1082988384.17
MIOTA,2017-07-02T23:59:59Z,0.3968900144100189,0.3667980134487152,0.39188000559806824,0.38224899768829346,2971770,1062472671.15
MIOTA,2017-07-03T23:59:59Z,0.3849549889564514,0.35602399706840515,0.379054993391037,0.37613898515701294,3873180,1045489741.12
MIOTA,2017-07-04T23:59:59Z,0.4106979966163635,0.373865008354187,0.3749000132083893,0.39638999104499817,3933710,1101778008.88
MIOTA,2017-07-05T23:59:59Z,0.40084099769592285,0.3718090057373047,0.3962729871273041,0.38012999296188354,3061100,1056582846.48
MIOTA,2017-07-06T23:59:59Z,0.3828650116920471,0.31729501485824585,0.38025298714637756,0.35387998819351196,8218370,983620176.548
MIOTA,2017-07-07T23:59:59Z,0.35599398612976074,0.27185899019241333,0.3558030128479004,0.2845650017261505,8804780,790957034.982
MIOTA,2017-07-08T23:59:59Z,0.32090801000595093,0.28139299154281616,0.28616398572921753,0.30551499128341675,3273950,849188194.411
MIOTA,2017-07-09T23:59:59Z,0.3127700090408325,0.2854749858379364,0.29737699031829834,0.30288898944854736,2474500,841889147.888
MIOTA,2017-07-10T23:59:59Z,0.3044759929180145,0.19053900241851807,0.3044759929180145,0.21706099808216095,8233640,603327622.758
MIOTA,2017-07-11T23:59:59Z,0.23157399892807007,0.18568100035190582,0.2147420048713684,0.18759599328041077,6946200,521428762.97
MIOTA,2017-07-12T23:59:59Z,0.23736199736595154,0.18395499885082245,0.19112500548362732,0.22875800728797913,4646480,635839788.479
MIOTA,2017-07-13T23:59:59Z,0.23862500488758087,0.1942490041255951,0.22909900546073914,0.21458899974822998,4129150,596456623.899
MIOTA,2017-07-14T23:59:59Z,0.21411199867725372,0.16187700629234314,0.21299900114536285,0.17534999549388885,3347860,487390635.124
MIOTA,2017-07-15T23:59:59Z,0.1760990023612976,0.1479330062866211,0.1752369999885559,0.1586879938840866,3913220,441078101.549
MIOTA,2017-07-16T23:59:59Z,0.18544499576091766,0.15517300367355347,0.15796099603176117,0.18097800016403198,4178170,503033831.557
MIOTA,2017-07-17T23:59:59Z,0.2780880033969879,0.17911399900913239,0.18071700632572174,0.26310500502586365,15254300,731308315.109
MIOTA,2017-07-18T23:59:59Z,0.30957698822021484,0.24875399470329285,0.2645690143108368,0.2673400044441223,11433600,743079625.857
MIOTA,2017-07-19T23:59:59Z,0.2840310037136078,0.2306859940290451,0.2681620121002197,0.23221200704574585,6339730,645440286.076
MIOTA,2017-07-20T23:59:59Z,0.29825299978256226,0.2321919947862625,0.23350299894809723,0.29245999455451965,10332500,812901426.566
MIOTA,2017-07-21T23:59:59Z,0.30550599098205566,0.2576259970664978,0.29475998878479004,0.2641339898109436,6344870,734168451.77
MIOTA,2017-07-22T23:59:59Z,0.2789359986782074,0.25440600514411926,0.2633900046348572,0.2733820080757141,4107430,759873547.827
MIOTA,2017-07-23T23:59:59Z,0.2802410125732422,0.25848498940467834,0.2736929953098297,0.2690719962120056,3065860,747893772.307
MIOTA,2017-07-24T23:59:59Z,0.2734679877758026,0.2427310049533844,0.2651360034942627,0.2664470076560974,4502060,740597505.315
MIOTA,2017-07-25T23:59:59Z,0.2690719962120056,0.23799799382686615,0.2668269872665405,0.25045299530029297,2917500,696141697.968
MIOTA,2017-07-26T23:59:59Z,0.2834779918193817,0.24123699963092804,0.25057101249694824,0.27459800243377686,4626790,763253456.651
MIOTA,2017-07-27T23:59:59Z,0.2855510115623474,0.27546700835227966,0.27684998512268066,0.27546700835227966,3343540,765668868.467
MIOTA,2017-07-28T23:59:59Z,0.27845901250839233,0.2627359926700592,0.2748759984970093,0.2651180028915405,2884740,736903509.568
MIOTA,2017-07-29T23:59:59Z,0.2772260010242462,0.24584800004959106,0.2665669918060303,0.27518999576568604,2788270,764898938.579
MIOTA,2017-07-30T23:59:59Z,0.2794010043144226,0.25283101201057434,0.27733901143074036,0.2547850012779236,3165840,708182623.154
MIOTA,2017-07-31T23:59:59Z,0.2598100006580353,0.2457679957151413,0.2550640106201172,0.25473201274871826,2563820,708035308.049
MIOTA,2017-08-01T23:59:59Z,0.29626700282096863,0.24962300062179565,0.2566649913787842,0.2902199923992157,5169910,806675278.732
MIOTA,2017-08-02T23:59:59Z,0.2930389940738678,0.2720319926738739,0.290134996175766,0.28611600399017334,3439800,795268086.451
MIOTA,2017-08-03T23:59:59Z,0.33684399724006653,0.28476500511169434,0.2865779995918274,0.33235201239585876,8239810,923782448.616
MIOTA,2017-08-04T23:59:59Z,0.4202519953250885,0.3322390019893646,0.3322390019893646,0.3912859857082367,20179000,1087591286.31
MIOTA,2017-08-05T23:59:59Z,0.42779800295829773,0.3640829920768738,0.39317598938941956,0.4079799950122833,9091140,1133992764.86
MIOTA,2017-08-06T23:59:59Z,0.4401929974555969,0.39685100317001343,0.40768998861312866,0.43114200234413147,6276510,1198372245.27
MIOTA,2017-08-07T23:59:59Z,0.4910280108451843,0.41808798909187317,0.4308040142059326,0.47457700967788696,14717700,1319101143.12
MIOTA,2017-08-08T23:59:59Z,0.5508800148963928,0.45899200439453125,0.4738740026950836,0.5476369857788086,21988500,1522173625.59
MIOTA,2017-08-09T23:59:59Z,0.5551249980926514,0.5125659704208374,0.547120988368988,0.5433279871940613,13294400,1510196629.6
MIOTA,2017-08-10T23:59:59Z,0.5880709886550903,0.5132499933242798,0.5358049869537354,0.5664560198783875,16602500,1574481605.99
MIOTA,2017-08-11T23:59:59Z,0.7105849981307983,0.5578269958496094,0.5655249953269958,0.6548720002174377,43618800,1820236555.49
MIOTA,2017-08-12T23:59:59Z,0.7279599905014038,0.6255210041999817,0.6551910042762756,0.7215350270271301,20358000,2005528382.74
MIOTA,2017-08-13T23:59:59Z,0.8295300006866455,0.7153819799423218,0.7221689820289612,0.807712972164154,41198400,2245062743.47
MIOTA,2017-08-14T23:59:59Z,0.9764040112495422,0.7936819791793823,0.8117380142211914,0.9764040112495422,54630900,2713944486.44
MIOTA,2017-08-15T23:59:59Z,0.9957910180091858,0.7672359943389893,0.9773200154304504,0.9179490208625793,84698304,2551467043.75
MIOTA,2017-08-16T23:59:59Z,1.0476000308990479,0.8785669803619385,0.914726972579956,1.0452100038528442,52081500,2905192847.09
MIOTA,2017-08-17T23:59:59Z,1.099869966506958,0.9982410073280334,1.0447900295257568,1.0160599946975708,58209300,2824169539.34
MIOTA,2017-08-18T23:59:59Z,1.0339900255203247,0.774399995803833,1.0142300128936768,0.8701469898223877,58053400,2418599937.16
MIOTA,2017-08-19T23:59:59Z,0.9857479929924011,0.778132975101471,0.8715800046920776,0.9785209894180298,39975500,2719828752.05
MIOTA,2017-08-20T23:59:59Z,1.0228999853134155,0.9396190047264099,0.9712219834327698,0.942205011844635,29447600,2618887330.29
MIOTA,2017-08-21T23:59:59Z,0.9391660094261169,0.8435770273208618,0.9074230194091797,0.9062690138816833,32558600,2519002130.04
MIOTA,2017-08-22T23:59:59Z,0.901777982711792,0.7862589955329895,0.901777982711792,0.8437749743461609,26333800,2345298164.54
MIOTA,2017-08-23T23:59:59Z,0.9403889775276184,0.8346670269966125,0.8425170183181763,0.8503710031509399,27418300,2363631946.28
MIOTA,2017-08-24T23:59:59Z,0.895101010799408,0.8138800263404846,0.8540430068969727,0.895101010799408,17132900,2487960335.84
MIOTA,2017-08-25T23:59:59Z,0.9346510171890259,0.8378660082817078,0.8947330117225647,0.919634997844696,18226300,2556153331.81
MIOTA,2017-08-26T23:59:59Z,0.9700679779052734,0.8778859972953796,0.9159259796142578,0.9622129797935486,16623100,2674500172.2
MIOTA,2017-08-27T23:59:59Z,0.9790880084037781,0.8873649835586548,0.9620580077171326,0.9203510284423828,17816000,2558143475.49
MIOTA,2017-08-28T23:59:59Z,0.92774200439453125,0.7847790122032166,0.9224640130996704,0.8751969933509827,24288200,2432636565.09
MIOTA,2017-08-29T23:59:59Z,0.8775780200958252,0.7464050054550171,0.8768919706344604,0.8119609951972961,28538500,2256870188.11
MIOTA,2017-08-30T23:59:59Z,0.8782029747962952,0.792339026927948,0.8127769827842712,0.8696470260620117,17428100,2417210172.02
MIOTA,2017-08-31T23:59:59Z,0.9020739793777466,0.8282240033149719,0.8695530295372009,0.8424239754676819,15194300,2341543019.13
MIOTA,2017-09-01T23:59:59Z,0.8791000247001648,0.7681189775466919,0.8428670167922974,0.807778000831604,28047000,2245243412.94
MIOTA,2017-09-02T23:59:59Z,0.8024640083312988,0.6580060124397278,0.7965599894523621,0.6955469846725464,39333900,1933293949.75
MIOTA,2017-09-03T23:59:59Z,0.775862991809845,0.6728500127792358,0.6988549828529358,0.7439680099487305,29504600,2067881585.58
MIOTA,2017-09-04T23:59:59Z,0.7442569732666016,0.4067949950695038,0.7442569732666016,0.5664719939231873,74601296,1574526078.47
MIOTA,2017-09-05T23:59:59Z,0.6460850238800049,0.46894899010658264,0.5441319942474365,0.6130849719047546,45817500,1704088323.55
